Year,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,FUEL CONSUMPTION,TRANSMISSION_A4,TRANSMISSION_A5,TRANSMISSION_AS4,TRANSMISSION_AS5,TRANSMISSION_AS6,TRANSMISSION_M5,TRANSMISSION_M6,FUEL_E,FUEL_N,FUEL_X,FUEL_Z
0.0,0.0453834115805946,0.001564945226917,0.1643192488262911,0.9047619047619052,1.0,1.268292682926829,False,False,False,False,False,False,True,False,False,False,True
0.0,0.0453834115805946,0.001564945226917,0.1517996870109546,0.666666666666667,1.0,0.121951219512195,False,True,False,False,False,False,False,False,False,False,True
0.0,0.0453834115805946,0.0062597809076682,0.162754303599374,-0.2380952380952381,0.0,-0.0975609756097561,True,False,False,False,False,False,False,False,False,False,True
0.0,0.0453834115805946,0.0062597809076682,0.162754303599374,-0.2380952380952381,0.0,-0.2439024390243901,False,False,False,False,False,True,False,False,False,False,True
0.0,0.0453834115805946,0.0062597809076682,0.162754303599374,-0.0952380952380953,0.0,-0.121951219512195,True,False,False,False,False,False,False,False,False,False,True
0.0,0.0453834115805946,0.0062597809076682,0.162754303599374,-0.0952380952380953,0.0,-0.121951219512195,False,False,False,False,False,True,False,False,False,False,True
0.0,0.0453834115805946,0.001564945226917,0.0156494522691705,0.9047619047619052,1.0,1.195121951219512,False,False,False,False,False,False,True,False,False,False,True
0.0,0.0093896713615023,0.001564945226917,0.1205007824726134,0.0476190476190476,0.0,-0.3170731707317074,True,False,False,False,False,False,False,False,False,True,False
0.0,0.0093896713615023,0.001564945226917,0.0438184663536776,0.3809523809523809,0.0,-0.146341463414634,True,False,False,False,False,False,False,False,False,True,False
0.0,0.0093896713615023,0.001564945226917,0.0438184663536776,0.3809523809523809,0.0,0.0,True,False,False,False,False,False,False,False,False,True,False
0.0,0.0093896713615023,0.001564945226917,0.0438184663536776,0.3809523809523809,0.0,0.1707317073170729,True,False,False,False,False,False,False,False,False,False,True
0.0,0.0093896713615023,0.001564945226917,0.1205007824726134,0.3809523809523809,0.0,-0.2195121951219512,True,False,False,False,False,False,False,False,False,True,False
0.0,0.0093896713615023,0.001564945226917,0.1205007824726134,0.3809523809523809,0.0,0.1707317073170729,True,False,False,False,False,False,False,False,False,False,True
0.0,0.0078247261345852,0.001564945226917,0.1205007824726134,0.0,0.0,0.0731707317073167,True,False,False,False,False,False,False,False,False,False,True
0.0,0.0078247261345852,0.001564945226917,0.0438184663536776,0.7619047619047619,1.0,0.268292682926829,True,False,False,False,False,False,False,False,False,False,True
0.0,0.0078247261345852,0.001564945226917,0.1205007824726134,0.7619047619047619,1.0,0.268292682926829,True,False,False,False,False,False,False,False,False,False,True
0.0,0.0078247261345852,0.001564945226917,0.1517996870109546,1.285714285714286,1.0,1.658536585365853,True,False,False,False,False,False,False,False,False,True,False
0.0,0.0078247261345852,0.001564945226917,0.1205007824726134,0.7619047619047619,1.0,0.268292682926829,True,False,False,False,False,False,False,False,False,False,True
0.0,0.0985915492957746,0.001564945226917,0.0359937402190923,0.6190476190476191,0.0,0.6341463414634143,True,False,False,False,False,False,False,False,False,True,False
0.0,0.0985915492957746,0.001564945226917,0.0266040688575899,0.6190476190476191,0.0,0.73170731707317,True,False,False,False,False,False,False,False,False,True,False
0.0,0.0985915492957746,0.001564945226917,0.0359937402190923,0.6190476190476191,0.0,0.439024390243902,True,False,False,False,False,False,False,False,False,True,False
0.0,0.0985915492957746,0.001564945226917,0.0266040688575899,0.6190476190476191,0.0,0.8048780487804873,True,False,False,False,False,False,False,False,False,True,False
0.0,0.0985915492957746,0.0031298904538341,0.1517996870109546,0.6190476190476191,0.0,0.439024390243902,True,False,False,False,False,False,False,False,False,True,False
0.0,0.0985915492957746,0.0031298904538341,0.1517996870109546,0.6190476190476191,0.0,0.4634146341463414,False,False,False,False,False,True,False,False,False,True,False
0.0,0.0985915492957746,0.0031298904538341,0.1517996870109546,0.6190476190476191,0.0,0.6097560975609749,True,False,False,False,False,False,False,False,False,True,False
0.0,0.0985915492957746,0.0031298904538341,0.1517996870109546,0.6190476190476191,0.0,1.0487804878048774,False,False,False,False,False,True,False,False,False,True,False
0.0,0.0985915492957746,0.0078247261345852,0.1439749608763693,0.6190476190476191,0.0,0.8048780487804873,True,False,False,False,False,False,False,False,False,True,False
0.0,0.0985915492957746,0.0078247261345852,0.1439749608763693,0.6190476190476191,0.0,0.9999999999999996,False,False,False,False,False,True,False,False,False,True,False
0.0,0.0985915492957746,0.0078247261345852,0.1439749608763693,0.8571428571428572,1.0,0.4634146341463414,True,False,False,False,False,False,False,False,False,True,False
0.0,0.0985915492957746,0.0078247261345852,0.1439749608763693,0.8571428571428572,1.0,1.0975609756097553,False,False,False,False,False,True,False,False,False,True,False
0.0,0.0985915492957746,0.0078247261345852,0.1439749608763693,1.0952380952380951,1.0,0.5609756097560971,True,False,False,False,False,False,False,False,False,True,False
0.0,0.0985915492957746,0.0031298904538341,0.1439749608763693,1.0952380952380951,1.0,0.8536585365853652,True,False,False,False,False,False,False,False,False,True,False
0.0,0.0985915492957746,0.0031298904538341,0.1439749608763693,1.4285714285714288,1.0,1.7073170731707308,True,False,False,False,False,False,False,False,False,True,False
0.0,0.0985915492957746,0.0062597809076682,0.162754303599374,0.3809523809523809,0.0,-0.121951219512195,True,False,False,False,False,False,False,False,False,True,False
0.0,0.0985915492957746,0.0062597809076682,0.162754303599374,0.3809523809523809,0.0,-0.1707317073170733,False,False,False,False,False,True,False,False,False,True,False
0.0,0.0985915492957746,0.0062597809076682,0.162754303599374,1.285714285714286,1.0,0.2439024390243901,True,False,False,False,False,False,False,False,False,False,True
0.0,0.0985915492957746,0.0062597809076682,0.162754303599374,1.285714285714286,1.0,0.0731707317073167,False,False,False,False,False,False,True,False,False,False,True
0.0,0.0985915492957746,0.0062597809076682,0.162754303599374,-0.3809523809523809,-1.0,-0.6829268292682926,True,False,False,False,False,False,False,False,False,True,False
0.0,0.0985915492957746,0.0062597809076682,0.162754303599374,-0.3809523809523809,-1.0,-0.5365853658536586,False,False,False,False,False,True,False,False,False,True,False
0.0,0.0985915492957746,0.0062597809076682,0.162754303599374,-0.2857142857142858,-1.0,-0.4634146341463414,True,False,False,False,False,False,False,False,False,True,False
0.0,0.0985915492957746,0.0062597809076682,0.162754303599374,-0.2857142857142858,-1.0,-0.5609756097560975,False,False,False,False,False,True,False,False,False,True,False
